coordinate,license,license_files,upstream
com.google.android.exoplayer:exoplayer-dash:2.18.1,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
com.google.android.exoplayer:exoplayer-database:2.18.1,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
com.google.android.exoplayer:exoplayer-datasource:2.18.1,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
com.google.android.exoplayer:exoplayer-decoder:2.18.1,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
com.google.android.exoplayer:exoplayer-extractor:2.18.1,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
com.google.android.exoplayer:exoplayer-hls:2.18.1,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
com.google.android.exoplayer:exoplayer-rtsp:2.18.1,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
com.google.android.exoplayer:exoplayer-smoothstreaming:2.18.1,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
com.google.android.exoplayer:exoplayer-transformer:2.18.1,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
com.google.android.exoplayer:exoplayer-ui:2.18.1,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
com.google.code.findbugs:jsr305:3.0.2,BSD-3-Clause,third_party/licenses/BSD-3-Clause.txt,https://spdx.org/licenses/BSD-3-Clause.html
com.google.errorprone:error_prone_annotations:2.28.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
com.google.guava:failureaccess:1.0.2,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
com.google.guava:guava:33.3.1-android,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
com.google.j2objc:j2objc-annotations:3.0.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
com.hierynomus:asn-one:0.6.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
com.hierynomus:smbj:0.13.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
com.jcraft:jzlib:1.1.3,BSD-style-JCraft,third_party/licenses/JCraft-JZlib.txt,http://www.jcraft.com/jzlib/LICENSE.txt
io.github.carguo:gsyvideoplayer-androidvideocache:13.1.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
io.github.carguo:gsyvideoplayer-base:13.1.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
io.github.carguo:gsyvideoplayer-exo2:13.1.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
io.github.carguo:gsyvideoplayer-java:13.1.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
net.engio:mbassador:1.3.0,MIT,third_party/licenses/MIT.txt,https://spdx.org/licenses/MIT.html
org.bouncycastle:bcprov-jdk18on:1.75,Bouncy-Castle,third_party/licenses/Bouncy-Castle.txt,https://www.bouncycastle.org/about/license.html
org.checkerframework:checker-qual:3.43.0,MIT,third_party/licenses/MIT.txt,https://spdx.org/licenses/MIT.html
org.jetbrains:annotations:23.0.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
org.jetbrains.kotlin:kotlin-stdlib:2.2.10,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
org.jetbrains.kotlinx:kotlinx-coroutines-android:1.9.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
org.jetbrains.kotlinx:kotlinx-coroutines-bom:1.9.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
org.jetbrains.kotlinx:kotlinx-coroutines-core:1.9.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
org.jetbrains.kotlinx:kotlinx-coroutines-core-jvm:1.9.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
org.jetbrains.kotlinx:kotlinx-serialization-bom:1.7.3,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
org.jetbrains.kotlinx:kotlinx-serialization-core:1.7.3,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
org.jetbrains.kotlinx:kotlinx-serialization-core-jvm:1.7.3,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
org.jspecify:jspecify:1.0.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
org.nanohttpd:nanohttpd:2.2.0,BSD-3-Clause,third_party/licenses/BSD-3-Clause.txt,https://spdx.org/licenses/BSD-3-Clause.html
org.slf4j:slf4j-api:1.7.6,MIT,third_party/licenses/MIT.txt,https://spdx.org/licenses/MIT.html
